date,treatment,sample,weight_g,size_cm
06/11/2016,TTC,TTC1,13.856,3.5005
06/11/2016,TTC,TTC2,23.1842,3.9995
06/11/2016,TTC,TTC3,13.0112,3.2945
06/11/2016,TTC,TTC4,22.8016,4.143
06/11/2016,TTC,TTC5,13.9164,3.518
06/11/2016,TTC,TTC6,8.0566,2.766
06/11/2016,TTC,TTC7,17.3041,3.7215
06/11/2016,TTC,TTC8,16.1425,3.6665
06/11/2016,TTC,TTC9,12.3677,3.309
06/11/2016,TTC,TTC10,DEAD,DEAD
06/11/2016,TTC,TTC11,13.7721,3.492
06/11/2016,TTC,TTC12,9.6314,3.065
06/11/2016,TTC,TTC13,18.4974,3.6845
06/11/2016,TTC,TTC14,9.9262,3.12
06/11/2016,TTC,TTC15,12.9818,3.3855
06/11/2016,TTC,TTC16,12.9755,3.38
06/11/2016,TTC,TTC17,17.1844,3.662
06/11/2016,TTC,TTC18,15.552,3.4785
06/11/2016,TTC,TTC19,14.9128,3.397
06/11/2016,TTC,TTC20,23.3,4.1735
06/11/2016,TTM,TTM1,18.1509,3.81
06/11/2016,TTM,TTM2,18.1844,3.7455
06/11/2016,TTM,TTM3,25.4736,4.0415
06/11/2016,TTM,TTM4,24.4847,4.2035
06/11/2016,TTM,TTM5,12.6055,3.4115
06/11/2016,TTM,TTM6,10.1549,3.071
06/11/2016,TTM,TTM7,16.8544,3.6365
06/11/2016,TTM,TTM8,11.1095,3.18
06/11/2016,TTM,TTM9,12.8617,3.3985
06/11/2016,TTM,TTM10,14.5907,3.5155
06/11/2016,TTM,TTM11,12.825,3.403
06/11/2016,TTM,TTM12,12.0579,3.304
06/11/2016,TTM,TTM13,20.3491,3.9685
06/11/2016,TTM,TTM14,18.1098,3.8295
06/11/2016,TTM,TTM15,11.5484,3.3135
06/11/2016,TTM,TTM16,7.6507,2.7365
06/11/2016,TTM,TTM17,21.4618,3.9175
06/11/2016,TTM,TTM18,16.4538,3.517
06/11/2016,TTM,TTM19,17.6235,3.618
06/11/2016,TTM,TTM20,16.4933,3.6935
06/11/2016,TTA,TTA1,9.7137,2.8955
06/11/2016,TTA,TTA2,9.734,2.8425
06/11/2016,TTA,TTA3,11.6538,3.103
06/11/2016,TTA,TTA4,13.9428,3.458
06/11/2016,TTA,TTA5,12.3312,3.4735
06/11/2016,TTA,TTA6,14.8836,3.3995
06/11/2016,TTA,TTA7,14.2513,3.4455
06/11/2016,TTA,TTA8,23.1931,4.0195
06/11/2016,TTA,TTA9,6.1337,2.6125
